"interpro_accession","total_freq","inKaKs2","geneid_vec","interpro_description","geneid_vec_wKaKs2","expected_freq","IDlong","fisher_res","fisher_res_BF","fisher_res_Holm","fisher_res_BH","fisher_res_BY"
"IPR042174",2,0,"FUN_013847,FUN_015709","DNA-binding RecF, domain 2",NA,0.00821627352239597,"DNA-binding RecF, domain 2 IPR042174",1,1,1,1,1
"IPR042175",1,0,"FUN_014372","Cell/Rod shape-determining protein MreC, domain 2",NA,0.00410813676119799,"Cell/Rod shape-determining protein MreC, domain 2 IPR042175",1,1,1,1,1
"IPR042176",2,0,"FUN_003758,FUN_014310","Pantoate-beta-alanine ligase, C-terminal domain",NA,0.00821627352239597,"Pantoate-beta-alanine ligase, C-terminal domain IPR042176",1,1,1,1,1
"IPR042177",1,0,"FUN_014372","Cell/Rod shape-determining protein MreC, domain 1",NA,0.00410813676119799,"Cell/Rod shape-determining protein MreC, domain 1 IPR042177",1,1,1,1,1
"IPR042179",1,0,"FUN_015082","Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain superfamily",NA,0.00410813676119799,"Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain superfamily IPR042179",1,1,1,1,1
"IPR042180",1,0,"FUN_011155","Intermediate filament, rod domain, coil 1B",NA,0.00410813676119799,"Intermediate filament, rod domain, coil 1B IPR042180",1,1,1,1,1
"IPR042181",1,0,"FUN_013202","Type II secretion system protein GspE, N-terminal superfamily",NA,0.00410813676119799,"Type II secretion system protein GspE, N-terminal superfamily IPR042181",1,1,1,1,1
"IPR042183",1,0,"FUN_014690","MmgE/PrpD superfamily, domain 1",NA,0.00410813676119799,"MmgE/PrpD superfamily, domain 1 IPR042183",1,1,1,1,1
"IPR042184",1,0,"FUN_016430","YqeY/Aim41, N-terminal domain",NA,0.00410813676119799,"YqeY/Aim41, N-terminal domain IPR042184",1,1,1,1,1
"IPR042187",1,0,"FUN_013018","Flagellin, C-terminal domain, subdomain 2",NA,0.00410813676119799,"Flagellin, C-terminal domain, subdomain 2 IPR042187",1,1,1,1,1
"IPR042189",1,0,"FUN_013489","Sigma-70 factor, region 1.1 superfamily",NA,0.00410813676119799,"Sigma-70 factor, region 1.1 superfamily IPR042189",1,1,1,1,1
"IPR042193",1,0,"FUN_012933","FHIPEP, domain 3",NA,0.00410813676119799,"FHIPEP, domain 3 IPR042193",1,1,1,1,1
"IPR042194",1,0,"FUN_012933","FHIPEP, domain 1",NA,0.00410813676119799,"FHIPEP, domain 1 IPR042194",1,1,1,1,1
"IPR042195",1,0,"FUN_013222","ArgJ beta chain, C-terminal domain",NA,0.00410813676119799,"ArgJ beta chain, C-terminal domain IPR042195",1,1,1,1,1
"IPR042196",1,0,"FUN_012933","FHIPEP, domain 4",NA,0.00410813676119799,"FHIPEP, domain 4 IPR042196",1,1,1,1,1
"IPR042199",3,0,"FUN_016209,FUN_016636,FUN_016468","Aspartokinase/Bifunctional aspartokinase/homoserine dehydrogenase, catalytic domain",NA,0.012324410283594,"Aspartokinase/Bifunctional aspartokinase/homoserine dehydrogenase, catalytic domain IPR042199",1,1,1,1,1
"IPR042201",8,0,"FUN_003157,FUN_001260,FUN_003942,FUN_005006,FUN_005023,FUN_007930,FUN_009794,FUN_007081","Formin, FH2 domain superfamily",NA,0.0328650940895839,"Formin, FH2 domain superfamily IPR042201",1,1,1,1,1
"IPR042203",2,0,"FUN_003636,FUN_015185","Leucyl/phenylalanyl-tRNA-protein transferase, C-terminal",NA,0.00821627352239597,"Leucyl/phenylalanyl-tRNA-protein transferase, C-terminal IPR042203",1,1,1,1,1
"IPR042208",3,0,"FUN_005175,FUN_004601,FUN_015277","D-serine dehydratase-like domain superfamily",NA,0.012324410283594,"D-serine dehydratase-like domain superfamily IPR042208",1,1,1,1,1
"IPR042214",2,0,"FUN_004788,FUN_007360","Pseudouridine synthase, TruD, catalytic domain",NA,0.00821627352239597,"Pseudouridine synthase, TruD, catalytic domain IPR042214",1,1,1,1,1
"IPR042216",1,0,"FUN_011805","Iron sulphur domain-containing, mitoNEET, C-terminal",NA,0.00410813676119799,"Iron sulphur domain-containing, mitoNEET, C-terminal IPR042216",1,1,1,1,1
"IPR042219",13,0,"FUN_002711,FUN_001872,FUN_002293,FUN_001644,FUN_007736,FUN_009215,FUN_005951,FUN_011803,FUN_010395,FUN_012115,FUN_010200,FUN_012300,FUN_006217","Dynein heavy chain AAA lid domain superfamily",NA,0.0534057778955738,"Dynein heavy chain AAA lid domain superfamily IPR042219",1,1,1,1,1
"IPR042222",14,0,"FUN_002291,FUN_002711,FUN_001872,FUN_001644,FUN_007736,FUN_009215,FUN_006083,FUN_005951,FUN_011803,FUN_010395,FUN_012115,FUN_010200,FUN_012300,FUN_006217","Dynein heavy chain, domain 2, N-terminal",NA,0.0575139146567718,"Dynein heavy chain, domain 2, N-terminal IPR042222",1,1,1,1,1
"IPR042225",1,0,"FUN_005408","Negative cofactor 2 complex subunit beta",NA,0.00410813676119799,"Negative cofactor 2 complex subunit beta IPR042225",1,1,1,1,1
"IPR042226",3,0,"FUN_000372,FUN_005958,FUN_016179","eRF1, domain 2 superfamily",NA,0.012324410283594,"eRF1, domain 2 superfamily IPR042226",1,1,1,1,1
"IPR042228",12,0,"FUN_002711,FUN_001872,FUN_001644,FUN_007736,FUN_009215,FUN_005951,FUN_011803,FUN_010395,FUN_012115,FUN_010200,FUN_012300,FUN_006217","Dynein heavy chain, domain 2, C-terminal",NA,0.0492976411343758,"Dynein heavy chain, domain 2, C-terminal IPR042228",1,1,1,1,1
"IPR042231",1,0,"FUN_007116","Choline/Carnitine o-acyltransferase, domain 2",NA,0.00410813676119799,"Choline/Carnitine o-acyltransferase, domain 2 IPR042231",1,1,1,1,1
"IPR042232",1,0,"FUN_007116","Choline/Carnitine o-acyltransferase, domain 1",NA,0.00410813676119799,"Choline/Carnitine o-acyltransferase, domain 1 IPR042232",1,1,1,1,1
